Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
506664,Skořice,227,142,141,"4,25 %","0,00 %","0,00 %","2,12 %","0,00 %","2,12 %","17,73 %","1,41 %","2,12 %","2,12 %","0,00 %","0,00 %","3,54 %","0,00 %","0,00 %","1,41 %","51,06 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,34 %","0,70 %"
540722,Smědčice,209,159,159,"18,86 %","0,00 %","0,00 %","6,91 %","0,00 %","7,54 %","1,25 %","1,88 %","0,62 %","3,77 %","0,62 %","0,00 %","13,83 %","0,00 %","0,00 %","4,40 %","25,15 %","0,00 %","5,03 %","0,00 %","0,62 %","0,00 %","0,00 %","9,43 %","0,00 %"
560162,Strašice,1 921,1 069,1 058,"11,81 %","0,47 %","0,00 %","9,45 %","0,00 %","3,02 %","12,19 %","0,75 %","0,94 %","1,41 %","0,09 %","0,09 %","12,94 %","0,18 %","0,09 %","3,30 %","28,54 %","0,09 %","1,51 %","0,00 %","0,56 %","0,37 %","0,66 %","11,05 %","0,37 %"
541176,Svojkovice,342,227,227,"19,82 %","0,00 %","0,00 %","7,92 %","0,00 %","4,40 %","6,16 %","1,76 %","0,44 %","3,08 %","0,00 %","0,00 %","9,69 %","0,00 %","0,00 %","4,84 %","28,63 %","0,88 %","0,00 %","0,00 %","0,88 %","0,88 %","0,88 %","9,25 %","0,44 %"
579343,Štítov,50,40,40,"7,50 %","2,50 %","0,00 %","5,00 %","0,00 %","0,00 %","15,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","10,00 %","0,00 %","0,00 %","0,00 %","20,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,50 %","2,50 %","32,50 %","2,50 %"
560189,Těně,238,162,159,"5,03 %","0,00 %","0,00 %","6,28 %","0,00 %","3,14 %","8,17 %","0,00 %","1,88 %","0,62 %","0,00 %","0,00 %","11,32 %","0,00 %","0,00 %","5,03 %","32,07 %","0,00 %","8,17 %","0,00 %","1,88 %","0,00 %","0,00 %","16,35 %","0,00 %"
566802,Terešov,137,79,79,"10,12 %","0,00 %","0,00 %","5,06 %","1,26 %","7,59 %","3,79 %","0,00 %","1,26 %","2,53 %","0,00 %","0,00 %","12,65 %","0,00 %","0,00 %","7,59 %","34,17 %","1,26 %","2,53 %","0,00 %","2,53 %","0,00 %","0,00 %","7,59 %","0,00 %"
546526,Těškov,255,164,161,"13,66 %","0,00 %","0,00 %","8,07 %","0,00 %","4,34 %","16,77 %","2,48 %","0,62 %","1,24 %","0,00 %","0,00 %","6,21 %","0,00 %","0,00 %","2,48 %","27,32 %","0,00 %","2,48 %","0,62 %","0,62 %","0,62 %","0,00 %","9,93 %","2,48 %"
579246,Trokavec,95,64,63,"15,87 %","1,58 %","0,00 %","4,76 %","0,00 %","1,58 %","9,52 %","1,58 %","0,00 %","1,58 %","0,00 %","0,00 %","15,87 %","0,00 %","0,00 %","0,00 %","39,68 %","0,00 %","0,00 %","0,00 %","1,58 %","0,00 %","0,00 %","4,76 %","1,58 %"
546534,Týček,167,129,129,"3,10 %","0,00 %","0,00 %","9,30 %","0,00 %","12,40 %","13,17 %","0,77 %","0,77 %","0,00 %","0,00 %","0,00 %","2,32 %","0,00 %","0,00 %","2,32 %","41,86 %","0,00 %","0,00 %","0,00 %","0,77 %","0,77 %","0,00 %","12,40 %","0,00 %"
546551,Újezd u Svatého Kříže,206,120,120,"9,16 %","0,00 %","0,00 %","3,33 %","0,00 %","3,33 %","11,66 %","3,33 %","2,50 %","0,83 %","0,83 %","0,83 %","6,66 %","0,00 %","0,00 %","7,50 %","35,00 %","0,00 %","1,66 %","0,00 %","0,00 %","0,83 %","0,00 %","12,50 %","0,00 %"
560227,Vejvanov,194,112,112,"11,60 %","0,00 %","0,00 %","10,71 %","0,00 %","7,14 %","12,50 %","0,89 %","1,78 %","3,57 %","0,00 %","0,00 %","13,39 %","0,00 %","0,00 %","3,57 %","23,21 %","0,00 %","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","10,71 %","0,00 %"
560235,Veselá,211,130,129,"19,37 %","0,77 %","0,00 %","3,87 %","0,00 %","1,55 %","11,62 %","0,00 %","2,32 %","0,77 %","0,00 %","0,77 %","9,30 %","0,00 %","0,77 %","1,55 %","30,23 %","0,00 %","0,77 %","0,00 %","0,00 %","2,32 %","0,00 %","13,17 %","0,77 %"
579289,Vísky,38,21,21,"4,76 %","0,00 %","0,00 %","19,04 %","0,00 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","28,57 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","0,00 %","33,33 %","0,00 %"
560251,Volduchy,915,666,648,"14,50 %","0,61 %","0,00 %","12,34 %","0,46 %","2,46 %","9,56 %","1,08 %","1,08 %","1,85 %","0,30 %","0,15 %","12,96 %","0,00 %","0,00 %","2,62 %","27,46 %","0,30 %","1,54 %","0,00 %","1,08 %","0,00 %","0,00 %","9,25 %","0,30 %"
566799,Všenice,219,179,179,"7,26 %","0,00 %","0,00 %","8,93 %","1,11 %","6,14 %","12,29 %","1,11 %","1,67 %","2,79 %","0,00 %","0,00 %","10,05 %","0,55 %","0,00 %","3,35 %","30,16 %","0,00 %","2,79 %","0,00 %","2,23 %","0,55 %","0,00 %","8,93 %","0,00 %"
560260,Zbiroh,2 040,1 190,1 174,"10,47 %","0,85 %","0,00 %","8,94 %","0,17 %","6,64 %","10,90 %","1,19 %","1,02 %","0,93 %","0,08 %","0,85 %","8,77 %","0,00 %","0,08 %","4,42 %","30,66 %","0,59 %","2,21 %","0,00 %","0,25 %","0,17 %","0,59 %","9,96 %","0,17 %"
541061,Zvíkovec,174,78,76,"6,57 %","0,00 %","0,00 %","0,00 %","0,00 %","10,52 %","11,84 %","3,94 %","3,94 %","1,31 %","0,00 %","1,31 %","7,89 %","0,00 %","0,00 %","6,57 %","27,63 %","0,00 %","2,63 %","0,00 %","1,31 %","1,31 %","0,00 %","11,84 %","1,31 %"
